symbol,market_cap,pe_ratio,dividend_yield,enterprise_value,enterprise_to_revenue,enterprise_to_ebitda,52_week_high,52_week_low,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue,revenue_per_share,quarterly_revenue_growth,gross_profit,ebitda,net_income_to_common,trailing_eps,forward_eps,peg_ratio,price_to_sales,price_to_book,forward_pe,beta,book_value,shares_outstanding,float_shares,shares_short,short_ratio,short_percent_of_float,held_by_insiders,held_by_institutions,short_percent_of_shares_outstanding,shares_short_prior_month,forward_annual_dividend_rate,forward_annual_dividend_yield,payout_ratio,dividend_growth,five_year_avg_dividend_yield,beta3_year,total_cash,total_cash_per_share,total_debt,total_debt_to_equity,current_ratio,quick_ratio,operating_cash_flow,levered_free_cash_flow
ADBE,208512630784.0,44.453674,,205778632704.0,10.322,27.115,638.25,433.97,0.24082,0.368,0.15724,0.32367,19936000000.0,43.762,,,7589000192.0,4800999936.0,10.47,20.37,1.9,10.459101,13.637775,22.848797,1.269,34.128,448000000.0,446745600.0,8007830.0,2.99,0.0179,0.00209,0.8628,,7193329.0,,,,,0.12,,6819999744.0,15.223,4086000128.0,26.429,1.049,0.931,6783000064.0,
NFLX,276410040320.0,44.45391,,285916987392.0,8.185,34.757,664.25,344.73,0.18422002,0.28094,0.10009,0.29795998,34932232192.0,79.703,,,8226065920.0,6435079168.0,14.43,22.3,1.33,7.9127507,12.939123,28.76547,1.257,49.576,430900992.0,426814798.0,8250632.0,1.84,0.019299999,0.00736,0.85176,,6454315.0,,,,,,,7045739008.0,16.349,16511605760.0,77.282,1.068,0.891,7308083200.0,
CMCSA,152864620544.0,10.334217,0.0318,243665469440.0,1.998,6.483,47.46,36.43,0.12638,0.19326,0.056110002,0.18132,121939001344.0,30.036,,,37586001920.0,15411000320.0,3.77,4.51,1.07,1.2536155,1.8572723,8.63858,1.001,20.977,3914180096.0,3882035612.0,55361723.0,2.55,0.0143,0.0068699997,0.88575,,53514621.0,1.24,0.0318,0.313,,2.28,,6514999808.0,1.66,96572997632.0,115.945,0.595,0.488,29120999424.0,
INTC,130856181760.0,31.69072,0.0163,166782173184.0,3.019,15.883,51.28,29.73,0.07361,-0.05666,0.00236,0.03794,55237001216.0,13.114,,,10501000192.0,4065999872.0,0.97,1.94,0.7,2.368995,1.2348357,15.84536,1.06,24.894,4256869888.0,4249635390.0,83239691.0,1.6,0.0196,0.00059999997,0.69114995,,76281751.0,0.5,0.0163,0.5155,,2.89,,21311000576.0,5.006,52450000896.0,47.356,1.566,0.984,12033000448.0,
MRK,330962272256.0,145.18889,0.023599999,359621787648.0,5.857,16.954,133.1,99.14,0.03756,0.42466,0.10257,0.05311,61403000832.0,24.215,,,21211000832.0,2305999872.0,0.9,9.95,0.16,5.390002,8.199159,13.132664,0.403,15.937,2532809984.0,2528221928.0,20265716.0,2.84,0.008,0.00053,0.78850996,,20429972.0,3.08,0.023599999,3.3332999,,2.88,,5618999808.0,2.218,34218999808.0,84.65,1.253,0.725,14757000192.0,
ABT,187149385728.0,33.51402,0.020399999,195436871680.0,4.846,18.85,121.64,89.67,0.13961,0.15405,0.060900003,0.14762,40326000640.0,23.181,,,10368000000.0,5608000000.0,3.21,5.14,2.78,4.640911,4.822269,20.929962,0.739,22.309,1739629952.0,1728535616.0,14768830.0,2.62,0.0085,0.0053100004,0.77025,,12937099.0,2.2,0.020399999,0.648,,1.6,,6650999808.0,3.823,14705000448.0,37.664,1.596,0.945,7143000064.0,
ABBV,299173675008.0,50.573135,0.0366,355503308800.0,6.535,13.612,182.89,130.96,0.11016,0.28294,0.07705,0.56244,54402998272.0,30.775,,,26115999744.0,5951000064.0,3.35,12.06,2.42,5.499213,37.358326,14.048092,0.582,4.535,1765869952.0,1762194776.0,15927790.0,3.04,0.009,0.00105,0.72764,,13536080.0,6.2,0.0366,1.7827001,,4.37,,18069000192.0,10.232,74358996992.0,924.059,0.936,0.723,22685999104.0,
T,129780080640.0,9.731183,0.061300002,294324994048.0,2.406,6.983,18.45,13.43,0.11133,0.21993,0.040570002,0.13035,122316996608.0,17.019,,,42146000896.0,13411000320.0,1.86,2.29,6.75,1.0610143,1.2414266,7.9039307,0.736,14.58,7170169856.0,7155681370.0,91556841.0,2.53,0.0128,0.00085,0.59596,,82717850.0,1.11,0.061300002,0.5968,,7.12,,3585999872.0,0.5,152075993088.0,126.105,0.679,0.407,39182999552.0,
CSCO,184680644608.0,15.486486,0.0349,198374866944.0,3.583,11.89,58.19,45.64,0.21884,0.21902001,0.08399,0.27517,55364001792.0,13.649,,,16684000256.0,12115999744.0,2.96,3.56,3.33,3.3357532,4.0373435,12.876405,0.845,11.354,4028809984.0,4022449249.0,52497860.0,3.12,0.012999999,0.00052,0.7913,,51751856.0,1.6,0.0349,0.53040004,,3.04,,19520000000.0,4.845,33213999104.0,72.57,0.895,0.7,13116000256.0,
NKE,145728716800.0,28.397058,0.0153,147260588032.0,2.855,21.46,123.39,88.66,0.10141,0.107489996,0.09891,0.36381,51581001728.0,33.831,,,6862000128.0,5231000064.0,3.4,3.94,1.9,2.8252401,10.254912,24.505077,1.051,9.415,1211459968.0,1193268886.0,18335123.0,2.23,0.0188,0.01411,0.8279,,19011146.0,1.48,0.0153,0.41759998,,1.01,,10572999680.0,7.005,12104999936.0,85.091,2.741,1.672,7063000064.0,
